open,close,high,low,volume,price_change,price_limit,volume_change,volume_limit,amplitude,difference,time
221.49,233,233,221.08,76165,11,0.04954955,26568,0.535677561,0.053693694,0.051846847,2021/1/27 13:42
233,234,235.73,202,91403,1,0.004291845,15238,0.200065647,0.144763948,0.004291845,2021/1/27 13:43
247.97,227.91,254.82,226.02,52035,-6.09,-0.026025641,-39368,-0.430707964,0.123076923,-0.085726496,2021/1/27 13:44
227.9,231.19,264.48,226,43411,3.28,0.014391646,-8624,-0.165734602,0.168838577,0.014435523,2021/1/27 13:45
232,235.37,245,232,75252,4.18,0.018080367,31841,0.73347769,0.056230806,0.014576755,2021/1/27 13:46
235.16,235,237.43,231.19,61705,-0.37,-0.001571993,-13547,-0.180021793,0.02651145,-0.000679781,2021/1/27 13:47
235.02,235,237,234,22819,0,0,-38886,-0.630192043,0.012765957,-8.51E-05,2021/1/27 13:48
235.5,232,273.4,228.68,43403,-3,-0.012765957,20584,0.902055305,0.190297872,-0.014893617,2021/1/27 13:49
231.45,234.02,254.4999,213.9999,23097,2.02,0.008706897,-20306,-0.467847845,0.174568966,0.011077586,2021/1/27 13:50
234,230.6,234,213.9999,21401,-3.42,-0.014614136,-1696,-0.07342945,0.085463208,-0.014528673,2021/1/27 13:51
230.9,231.19,233,230,20667,0.59,0.002558543,-734,-0.034297463,0.01300954,0.001257589,2021/1/27 13:52
231.6999,231.63,232,231,13411,0.44,0.001903197,-7256,-0.351091111,0.004325447,-0.000302349,2021/1/27 13:53
231.06,226,231.13,224.24,42770,-5.63,-0.024306005,29359,2.189173067,0.029745715,-0.021845184,2021/1/27 13:54
225.17,225.58,226,224.46,20345,-0.42,-0.001858407,-22425,-0.524316109,0.006814159,0.001814159,2021/1/27 13:55
226,228,228,225.64,20739,2.42,0.010727901,394,0.019365938,0.01046192,0.008866034,2021/1/27 13:56
228,227.24,269.0699,225.5,29407,-0.76,-0.003333333,8668,0.417956507,0.191096053,-0.003333333,2021/1/27 13:57
226.96,229.8499,229.85,225,44182,2.6099,0.011485214,14775,0.502431394,0.021343073,0.012717391,2021/1/27 13:58
229.5,231.5,232.5,229.5,44276,1.6501,0.007179033,94,0.002127563,0.013051996,0.008701331,2021/1/27 13:59
231.15,241.98,242,231,119125,10.48,0.045269978,74849,1.690509531,0.047516199,0.046781857,2021/1/27 14:00
241.97,249,249.88,240,149695,7.02,0.029010662,30570,0.256621196,0.040829821,0.029051988,2021/1/27 14:01
249.45,245.0001,250,245,91896,-3.9999,-0.016063855,-57799,-0.386111761,0.020080321,-0.017871084,2021/1/27 14:02
245.31,245.01,247.88,244,78820,0.0099,4.04E-05,-13076,-0.142291286,0.015836728,-0.001224489,2021/1/27 14:03
245.01,234.9,246,233.99,84004,-10.11,-0.041263622,5184,0.065770109,0.049018407,-0.041263622,2021/1/27 14:04
234.95,242.01,270.0901,234.9,79109,7.11,0.030268199,-4895,-0.058271035,0.149808855,0.030055343,2021/1/27 14:05
243,249,268.8001,202,79337,6.99,0.028883104,228,0.002882099,0.276022065,0.024792364,2021/1/27 14:06
248.5,247.56,263.64,213.9999,56008,-1.44,-0.005783133,-23329,-0.294049435,0.199357831,-0.0037751,2021/1/27 14:07
248.88,251,262.09,201.98,129302,3.44,0.013895621,73294,1.308634481,0.242809824,0.008563581,2021/1/27 14:08
245.83,245,264,239.5,60024,-6,-0.023904382,-69278,-0.535784443,0.097609562,-0.003306773,2021/1/27 14:09
246.2,249,265.08,245.2,50939,4,0.016326531,-9085,-0.151356124,0.081142857,0.011428571,2021/1/27 14:10
249.5,252,252,245,79434,3,0.012048193,28495,0.55939457,0.02811245,0.010040161,2021/1/27 14:11
251.92,249,264.97,245.06,68522,-3,-0.011904762,-10912,-0.137371906,0.079007937,-0.011587302,2021/1/27 14:12
245,249,250,244.96,38317,0,0,-30205,-0.440807332,0.020240964,0.016064257,2021/1/27 14:13
249.88,249,272.0101,245,72690,0,0,34373,0.897069186,0.108474297,-0.003534137,2021/1/27 14:14
249,251.9996,273.75,208.89,141202,2.9996,0.012046586,68512,0.942523043,0.260481928,0.012046586,2021/1/27 14:15
252,260,260,244.98,118230,8.0004,0.031747669,-22972,-0.162688914,0.059603269,0.031746082,2021/1/27 14:16
259.93,267.99,268,253.66,157184,7.99,0.030730769,38954,0.329476444,0.055153846,0.031,2021/1/27 14:17
268,292.88,293,268,208277,24.89,0.0928766,51093,0.325052168,0.093287063,0.092839285,2021/1/27 14:18
293.32,310,314,197.53,453600,17.12,0.058453974,245323,1.177868896,0.397671401,0.056951653,2021/1/27 14:19
310.0001,326.99,327,306.91,292012,16.99,0.054806452,-161588,-0.356234568,0.064806452,0.054806129,2021/1/27 14:20
325.97,345,358.23,200,372816,18.01,0.055078137,80804,0.276714656,0.48389859,0.058197498,2021/1/27 14:21
345.12,383,383,197.53,519656,38,0.110144928,146840,0.393867216,0.537594203,0.109797101,2021/1/27 14:22
382,355,385,200,377084,-28,-0.07310705,-142572,-0.274358422,0.483028721,-0.070496084,2021/1/27 14:23
351.87,329.29,370,325,187869,-25.71,-0.072422535,-189215,-0.501784748,0.126760563,-0.063605634,2021/1/27 14:24
330.39,325,341,310,174117,-4.29,-0.01302803,-13752,-0.073199943,0.094141942,-0.016368551,2021/1/27 14:25
327,325,330,325,128840,0,0,-45277,-0.260037791,0.015384615,-0.006153846,2021/1/27 14:26
325,325.1,329.9,324,267776,0.1,0.000307692,138936,1.078360758,0.018153846,0.000307692,2021/1/27 14:27
325.01,332.98,335,325,143157,7.88,0.024238696,-124619,-0.465385247,0.030759766,0.024515534,2021/1/27 14:28
332.73,351.94,351.94,325,152374,18.96,0.056940357,9217,0.064383858,0.08090576,0.057691153,2021/1/27 14:29
354.83,302.68,354.83,302,185142,-49.26,-0.13996704,32768,0.215049812,0.150110814,-0.148178667,2021/1/27 14:30
